Problem,Method,Dataset,Metric,Count
outlier detection,feature extraction,data streams,robust,2
outlier detection,decision tree,data streams,false positives,2
outlier detection,decision tree,data streams,robust,2
outlier detection,decision tree,data streams,effectiveness,2
outlier detection,neural network,data streams,false positives,2
outlier detection,neural network,data streams,robust,2
temporal dynamics,topic models,Tweets,scalability,2
temporal dynamics,topic models,Tweets,robust,3
temporal dynamics,topic models,Tweets,effectiveness,3
temporal dynamics,neural network,data streams,robust,2
temporal dynamics,neural network,Tweets,effectiveness,2
temporal dynamics,generative model,Tweets,robust,2
temporal dynamics,generative model,Tweets,effectiveness,2
